Country,GDP_YoY,GDP_QoQ,Interest_Rate,Inflation_Rate
USA,1.70%,3.50%,0.75%,1.70%
China,6.70%,1.80%,4.35%,2.10%
Japan,1.10%,0.30%,0.10%,0.50%
Germany,1.50%,0.20%,0.00%,1.70%
United Kingdom,2.20%,0.60%,0.25%,1.60%
France,1.00%,0.20%,0.00%,0.60%
India,7.30%,1.80%,6.25%,3.41%
Italy,1.00%,0.30%,0.00%,0.50%
Brazil,2.90%,0.80%,13.00%,6.29%
Canada,1.30%,0.90%,0.50%,1.20%
South Korea,2.60%,0.60%,1.25%,1.30%
Australia,1.80%,0.50%,1.50%,1.30%
Russia,0.40%,0.57%,10.00%,5.40%
Spain,3.20%,0.70%,7.00%,1.60%
Mexico,2.00%,1.00%,5.75%,3.36%
Indonesia,5.02%,3.20%,4.75%,3.02%
